Restaurant,Rating,Cuisine,Price_for_Two,Location,Delivery_Time
Kashyap's Chaat,,Street Food,₹100 for two,Kukatpally,
Shiv Chole Bhature,,North Indian,₹100 for two,Kukatpally,
Shri Ram Kachori,,Street Food,₹100 for two,Kukatpally,
Balaji Kota Kachori,,"Street Food, North Indian",₹100 for two,Kukatpally,
Choco Berry,,Ice Cream,₹100 for two,Kukatpally,
Mahour Poha Centre,,Street Food,₹100 for two,Kukatpally,
Shree Ram Kachori,,Street Food,₹100 for two,Kukatpally,
Pate Puff,,Street Food,₹100 for two,Kukatpally,
Shree Ganesh,,North Indian,₹100 for two,Kukatpally,
Prabhu South Indian Corner,,South Indian,₹100 for two,Kukatpally,
Raghav Sweet Corner,,"Mithai, Fast Food",₹100 for two,Kukatpally,
Maa Sheetla Nashta Bhandar,,North Indian,₹100 for two,Kukatpally,
Pure Veg Dhaba,,"North Indian, Street Food, Tea",₹100 for two,Kukatpally,
Mohan Piyare Food Coner,,"Chinese, Momos, Beverages",₹100 for two,Kukatpally,
Shri Ram Kachori Wala,,Street Food,₹100 for two,Kukatpally,
Maa Kalka Chaat Bhandar,,Street Food,₹100 for two,Kukatpally,
Kanha Chaat Bhandar,,Street Food,₹100 for two,Kukatpally,
Radhe Shyam De Chhole Bhature,,North Indian,₹100 for two,Kukatpally,
Chhole Kulchhe Chhole Prathey,,North Indian,₹100 for two,Kukatpally,
Jain Chole Bhature,,Street Food,₹100 for two,Kukatpally,
Prahlad Samose Wala Since 1965,4.0,Street Food,₹100 for two,Kukatpally,
Yashpal Tulsi Dass Chole Kulche,3.2,North Indian,₹100 for two,Kukatpally,
Egg Rolls Hub With Chaayo,3.4,"Rolls, Tea, Beverages",₹100 for two,Kukatpally,
Radhe Shyam Chhole Bhature,3.2,"North Indian, Street Food",₹100 for two,Kukatpally,
Jain Tikki Wala,,Street Food,₹100 for two,Kukatpally,Closes in 9 minutes
Nagori Tea Point,,"Beverages, Street Food",₹100 for two,Kukatpally,Closes in 9 minutes
Shri Ram Dhaba,,Chinese,₹100 for two,Kukatpally,Closes in 9 minutes
Maa Tarini Hotel,,North Indian,₹100 for two,Kukatpally,
Special Amritsari Naan,,North Indian,₹100 for two,Kukatpally,
BTech Paani Puri Wali,,Street Food,₹100 for two,Kukatpally,Closes in 9 minutes
Swad Junction,,"North Indian, Momos, Street Food, Coffee, Beverages",₹100 for two,Kukatpally,Closes in 9 minutes
Shreeman Amruttulya Chai,,"Tea, Beverages",₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Cafe Karvaan,,"Biryani, Fast Food",₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Shakes Empire,,"Shake, Coffee",₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Sharma Ji Ke Special Chhole Bhature,,"North Indian, Beverages",₹100 for two,Kukatpally,Closes in 1 hour 24 minutes
Chai Garam Cafe,,"Tea, Beverages",₹100 for two,Kukatpally,
Vrindavan Chaat Chaupati,,Street Food,₹100 for two,Kukatpally,Closes in 39 minutes
Baithack - Taste Of Kulhad,,"Beverages, Continental",₹100 for two,Kukatpally,
Deepak Pan & Confectionery Store,,"Paan, Ice Cream, Street Food, Beverages",₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Star Buffet,,North Indian,₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Night Paan Shop,,"Paan, Sandwich",₹100 for two,Kukatpally,
Ansarul Bangali Hotel,,"North Indian, Bengali",₹100 for two,Kukatpally,
Chai Paratha Shudh A Veg Food Hub,,"North Indian, Chinese, Fast Food",₹100 for two,Kukatpally,Closes in 1 hour 39 minutes
Paratha 24×7,,"North Indian, Street Food",₹100 for two,Kukatpally,
Ram Ji Ke Chole Bhature,,"North Indian, Beverages",₹100 for two,Kukatpally,Closes in 9 minutes
Prime Patties & Foods,,"Street Food, Chinese, Rolls, Fast Food, Beverages",₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Chayyashi Cafe,,"Chinese, Fast Food, Momos, Rolls",₹100 for two,Kukatpally,Closes in 9 minutes
The Samosaa Factory,,"Street Food, North Indian, Beverages",₹100 for two,Kukatpally,Closes in 9 minutes
Juice Hub,,"Beverages, Juices, Shake",₹100 for two,Kukatpally,Closes in 9 minutes
Shree Shyam PTW,,"Street Food, North Indian",₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Amardeep Restaurant,,"North Indian, Fast Food",₹100 for two,Kukatpally,Closes in 9 minutes
Khwaja Gareeb Nawaz Hotel,,"North Indian, Street Food",₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Apna Vaishno Dhaba,,North Indian,₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Kulfi,,Ice Cream,₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Tiwari Bhojnalaya,,North Indian,₹100 for two,Kukatpally,Closes in 39 minutes
Apna Chowmein Center and Egg Roll,,"Chinese, Street Food",₹100 for two,Kukatpally,Closes in 9 minutes
Mulchand Chhole Bhature Wale,,North Indian,₹100 for two,Kukatpally,Closes in 9 minutes
Mega Mess,,"North Indian, South Indian, Chinese, Street Food",₹100 for two,Kukatpally,Closes in 9 minutes
Samosa Wale,,"Fast Food, Street Food",₹100 for two,Kukatpally,
The Momo Land,,Chinese,₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Lunch Center,,North Indian,₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Pankaj Paratha Wala,,North Indian,₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Chirag Kulfi And Falooda Kulfi Di Hatti,,Ice Cream,₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Aliya Chaat Corner,,Street Food,₹100 for two,Kukatpally,Closes in 39 minutes
Karan Dhaba,,North Indian,₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
The Lazeez Bite,,"Momos, Chinese, Fast Food",₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Rajasthani Khana,,North Indian,₹100 for two,Kukatpally,Closes in 9 minutes
Kumaun South Indian Food,,"Chinese, South Indian",₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Best Chinese Corner,,Chinese,₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Raju Family Dhaba,,North Indian,₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Sardar Ji Kachori Wale,,Street Food,₹100 for two,Kukatpally,Closes in 9 minutes
Ganpati Restaurant,,"Street Food, Chinese",₹100 for two,Kukatpally,Closes in 39 minutes
Apna Dhaba,,North Indian,₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Pandit Ji Kachori Wale,,Street Food,₹100 for two,Kukatpally,Closes in 9 minutes
Har Har Mahadev Samosa,,"Street Food, Beverages",₹100 for two,Kukatpally,Closes in 9 minutes
Banti Chowmein Corner,,"Chinese, Burger, Fast Food, North Indian",₹100 for two,Kukatpally,Closes in 9 minutes
Mukesh Murna Chat Bhandar,,"South Indian, Street Food",₹100 for two,Kukatpally,Closes in 9 minutes
Shankar Ji Ke Special Paranthe,,North Indian,₹100 for two,Kukatpally,
Aunty Ki Rasoi,,North Indian,₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Ustad Veg Hotel,,North Indian,₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Aman Dhaba,,North Indian,₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Eat Street 18,,"Street Food, North Indian, Sandwich, Beverages",₹100 for two,Kukatpally,Closes in 9 minutes
Taste Of Darjeeling,,"Rolls, Momos",₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
24 Cloud Snooker And Cafe,,North Indian,₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Yadav Ji Ke Special Paneer Wale Chhole Bhature,,"North Indian, Street Food",₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
HOT AND BITE,,"Chinese, Momos, Street Food",₹100 for two,Kukatpally,Closes in 9 minutes
Aunty Ke Ghar Ki Rasoi,,North Indian,₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Maksud Alam Tea & Coffee Shop,,"Tea, Beverages",₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Samosa Man,,Street Food,₹100 for two,Kukatpally,
Dahiya Dhaba,,"North Indian, Fast Food, Street Food",₹100 for two,Kukatpally,Closes in 9 minutes
Janki Rasoi,,"North Indian, Street Food",₹100 for two,Kukatpally,Closes in 39 minutes
Paan Aroma Family Paan Cafe,,Paan,₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Nawab Seekh Paratha Corner,,North Indian,₹100 for two,Kukatpally,
Ali Paratha Wale,,"Fast Food, North Indian, Street Food",₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Om Shahi Dhaba,,North Indian,₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Nizamuddin Nagori Chai,,"Tea, Beverages",₹100 for two,Kukatpally,Closes in 1 hour 39 minutes
Yadav Ji Ke Mashoor Pakode Hi Pakode,,Street Food,₹100 for two,Kukatpally,Closes in 9 minutes
Kerala Restaurant,,"South Indian, Chinese",₹100 for two,Kukatpally,Closes in 9 minutes
Chandni Chowk Ke Mashoor Makhan Wale Paranthe,,North Indian,₹100 for two,Kukatpally,Closes in 1 hour 39 minutes
Annapurna Kitchen,,"Fast Food, North Indian",₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Om Sai Ram Fast Food,,"Fast Food, Momos, Burger, Chinese",₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
IFC Indian Cuisine,,North Indian,₹100 for two,Kukatpally,Closes in 39 minutes
Mallu Pan,,Paan,₹100 for two,Kukatpally,
Duggu Chicken Shawarma Roll,,"Rolls, Burger, Sandwich",₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Bhawana Sweets & Caterers,,Mithai,₹100 for two,Kukatpally,Closes in 9 minutes
Chaayam,,"Tea, Beverages",₹100 for two,Kukatpally,
Pahadganj Ke Special Chole Bhature,,North Indian,₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Ice Cream Bell,,Ice Cream,₹100 for two,Kukatpally,
Naman Restaurant,,"North Indian, South Indian",₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Shree Bikaner Misthan Bhandar,,"Mithai, Street Food",₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Disha Cane's,,Beverages,₹100 for two,Kukatpally,Closes in 9 minutes
Mahi Roll,,"Rolls, Fast Food",₹100 for two,Kukatpally,Closes in 9 minutes
Savitri Dhaba,,"North Indian, Street Food",₹100 for two,Kukatpally,Closes in 1 hour 39 minutes
Spicy Fast Food,,"North Indian, Fast Food",₹100 for two,Kukatpally,Closes in 1 hour 39 minutes
Jai Jagannath Restaurant,,South Indian,₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Shikha Fast Food,,"Street Food, Tea",₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Mom's Choice,,Bakery,₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Cafe Loyal Tea,,"Tea, Fast Food, Beverages",₹100 for two,Kukatpally,Closes in 9 minutes
Bhola Ram Aloo Chaat,,Street Food,₹100 for two,Kukatpally,Closes in 9 minutes
Meera TIffin Services,,"North Indian, Street Food",₹100 for two,Kukatpally,Closes in 1 hour 39 minutes
Pahadi Fast Food Corner,,"Fast Food, Chinese",₹100 for two,Kukatpally,Closes in 9 minutes
Hare Krishna Dhaba,,North Indian,₹100 for two,Kukatpally,Closes in 9 minutes
Agrawal Chinese Food Corner,,"Chinese, Rolls, Momos, Burger",₹100 for two,Kukatpally,Closes in 9 minutes
Dilshad Bhai Paranthe Wale,,North Indian,₹100 for two,Kukatpally,Closes in 9 minutes
Choudhary Chaap & Restaurant,,"Momos, North Indian, Chinese",₹100 for two,Kukatpally,Closes in 9 minutes
Sharma Punjabi Dhaba,,North Indian,₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Bhola Fast Food,,"Fast Food, Momos, Chinese, North Indian",₹100 for two,Kukatpally,Closes in 39 minutes
Ahmad Biryani Corner,,Biryani,₹100 for two,Kukatpally,Closes in 9 minutes
New Manish Dhaba,,North Indian,₹100 for two,Kukatpally,Closes in 1 hour 39 minutes
Jai Shree Shyam Kachori Bhandar,,"Street Food, North Indian, Chinese, Burger, Momos",₹100 for two,Kukatpally,Closes in 1 hour 39 minutes
Vaishno Chaat Bhandar,,Street Food,₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Choudhary Jee Ke Prasidh Samose,,Street Food,₹100 for two,Kukatpally,Closes in 9 minutes
Akhtar Kabab Paratha Hotel,,"Street Food, North Indian",₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Aggarwal Sweets & Bakery,,North Indian,₹100 for two,Kukatpally,Closes in 39 minutes
House Of Momo,,"Momos, Chinese",₹100 for two,Kukatpally,Closes in 24 minutes
Qureshi Hotel,,"North Indian, Fast Food",₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
The Lassi Cafe,,Beverages,₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Bhukkad Tikki Wala,,"Street Food, South Indian, North Indian",₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Nitish Sweets,,"Mithai, Street Food",₹100 for two,Kukatpally,Closes in 9 minutes
Mittal Sweets,,Mithai,₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Indarpal Special Paratha & Puri Sabji Center,,North Indian,₹100 for two,Kukatpally,Closes in 9 minutes
Uttrakhand Dhaba,,North Indian,₹100 for two,Kukatpally,Closes in 9 minutes
Chai Chakhna Cafe,,"Tea, Beverages",₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Meera Aunty Paratha Corner,,"North Indian, Chinese, Fast Food",₹100 for two,Kukatpally,Closes in 9 minutes
Kavya Rabri Faluda,,"Ice Cream, Desserts, Beverages",₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
GFC Fast Food,,Fast Food,₹100 for two,Kukatpally,Closes in 9 minutes
PPS Fast Food,,"Chinese, Street Food",₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Fast Food,,"Street Food, Chinese",₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Hotel Bengali,,"Bengali, North Indian",₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Ganesh South Indian,,South Indian,₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Tea Tree Cafe,,"Tea, Beverages",₹100 for two,Kukatpally,
Lipbalam Bawarchi,,Fast Food,₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Pandit Puri Bhandar,,North Indian,₹100 for two,Kukatpally,Closes in 39 minutes
Aamchi,,"Street Food, Fast Food, Momos",₹100 for two,Kukatpally,
Empire Cafe House,,,₹100 for two,Kukatpally,
Al- Nazeer Muslim Hotel,,Mughlai,₹100 for two,Kukatpally,Closes in 39 minutes
Jain Fast Food Corner,,"Street Food, North Indian, Desserts",₹100 for two,Kukatpally,Closes in 9 minutes
Shiva Burger Corner,,Burger,₹100 for two,Kukatpally,Closes in 39 minutes
Kulhad Chai Wala,,"Beverages, Tea",₹100 for two,Kukatpally,Closes in 1 hour 39 minutes
Babe Di Hatti,,North Indian,₹100 for two,Kukatpally,Closes in 9 minutes
Tamang Momos,,"Chinese, Momos",₹100 for two,Kukatpally,Closes in 9 minutes
Bole Toh Vda Pav,,Street Food,₹100 for two,Kukatpally,Closes in 1 hour 24 minutes
M.G Burger World,,Burger,₹100 for two,Kukatpally,Closes in 1 hour 54 minutes
Shams Raja Food,,"North Indian, Kebab, Burger",₹100 for two,Kukatpally,Closes in 9 minutes
MP Special Fast Food,,"Fast Food, Chinese, Momos",₹100 for two,Kukatpally,Closes in 9 minutes
Shri Laxmi Ganesh Pawar Nasta Point,,North Indian,₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Lucky Dhaba,,North Indian,₹100 for two,Kukatpally,
Romos,,"Momos, Rolls, Chinese, North Indian",₹100 for two,Kukatpally,Closes in 9 minutes
Kamal Chaat,,Street Food,₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Bhalolaga Roll Center,,Rolls,₹100 for two,Kukatpally,Closes in 39 minutes
Hot Dog Cheese Burger,,Fast Food,₹100 for two,Kukatpally,Closes in 9 minutes
Saanvi Dhaba,,North Indian,₹100 for two,Kukatpally,
Shudh Vaishno Punjabi Dhaba,,North Indian,₹100 for two,Kukatpally,Closes in 9 minutes
The Tea Cafe,,"Tea, Street Food, Beverages",₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Corn Pops,,Street Food,₹100 for two,Kukatpally,Closes in 1 hour 39 minutes
Shree Balaji Vaishno Hotel,,North Indian,₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Food @ Cafe,,"Fast Food, Beverages",₹100 for two,Kukatpally,Closes in 9 minutes
Saini Snacks Corner,,"Street Food, Beverages",₹100 for two,Kukatpally,Closes in 39 minutes
Shivam Food Point,,North Indian,₹100 for two,Kukatpally,Closes in 39 minutes
Arman Point,,"Street Food, Tea",₹100 for two,Kukatpally,Closes in 9 minutes
Sudh Veg Biryani,,Biryani,₹100 for two,Kukatpally,Closes in 9 minutes
Chai weds Burger,,"Fast Food, Street Food",₹100 for two,Kukatpally,Closes in 9 minutes
United Paratha Of Punjab,,North Indian,₹100 for two,Kukatpally,Closes in 1 hour 24 minutes
Chandni Chowk Ke Mashoor Parathe,,North Indian,₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Ladi Restro,,"North Indian, Street Food",₹100 for two,Kukatpally,
Dhaba Mithila Bhojan,,North Indian,₹100 for two,Kukatpally,
Aj' LL.B. Chai Wala,,"Beverages, Street Food",₹100 for two,Kukatpally,
Ram Laddu,,Street Food,₹100 for two,Kukatpally,
Veer Di Hatti,,"Street Food, North Indian",₹100 for two,Kukatpally,
Kashyap Chhole Kulche,,North Indian,₹100 for two,Kukatpally,
Hari Ram,,North Indian,₹100 for two,Kukatpally,
Bebe De Chole Bhature,,Beverages,₹100 for two,Kukatpally,
Sharma Ji Chole Kulche,,"North Indian, Street Food",₹100 for two,Kukatpally,
Veg Biryani,,Biryani,₹100 for two,Kukatpally,
Shiv Ganga Puri Wale,3.2,Street Food,₹100 for two,Kukatpally,
Jain Pavitra Chach Bhandar,,"Sandwich, Beverages",₹100 for two,Kukatpally,
Bajrangi Kachori Bhandar,3.6,Street Food,₹100 for two,Kukatpally,
Samosa G,,Street Food,₹100 for two,Kukatpally,
Balaji Variety Samose Wala,,Street Food,₹100 for two,Kukatpally,
Omi Di Hatti,,Street Food,₹100 for two,Kukatpally,
Lucky Fast Food Corner,,Street Food,₹100 for two,Kukatpally,
Gupta Paratha Wale,,North Indian,₹100 for two,Kukatpally,
Kaka Ji Ke Special Chole Bhature,,North Indian,₹100 for two,Kukatpally,
Rajpal Bhai Chole Kulche,,Street Food,₹100 for two,Kukatpally,
C.P. Fast Food Point,,Fast Food,₹100 for two,Kukatpally,
St. Xavier School Ki Mashoor Kachoori,,Street Food,₹100 for two,Kukatpally,
Bupram Ji Ke Special Chole Kulche,,North Indian,₹100 for two,Kukatpally,
Om Sai Special Paneer Wale,,North Indian,₹100 for two,Kukatpally,
Shri Mohan Ji Kachori Wale,,Street Food,₹100 for two,Kukatpally,
Amritsari Naan Corner,,North Indian,₹100 for two,Kukatpally,
Khurchan Bhandar,,"Street Food, North Indian",₹100 for two,Kukatpally,
Raju Chole Wala,,"North Indian, Street Food",₹100 for two,Kukatpally,
T-2 Di Hatti,,Street Food,₹100 for two,Kukatpally,
Mahant Ji Ke Chole Kulche,3.9,North Indian,₹100 for two,Kukatpally,
Zaika,,Rolls,₹100 for two,Kukatpally,
Burger Bread & Tikki,,Burger,₹100 for two,Kukatpally,
Krishna Chole Bhature,,North Indian,₹100 for two,Kukatpally,
Delhi Chaat Bhandar,,Fast Food,₹100 for two,Kukatpally,
Chinky & Momos - Shanghai Foods,,"Momos, Rolls",₹100 for two,Kukatpally,
Shudh Shakahari Veg Biryani,,Biryani,₹100 for two,Kukatpally,
Karol Bagh ke Mashoor Chole Bhature,,"North Indian, Street Food",₹100 for two,Kukatpally,
Vishal Chole Bhature,,North Indian,₹100 for two,Kukatpally,
Yadav Ji Ke Chole Kulche,,North Indian,₹100 for two,Kukatpally,
Bombay Pav Bhaji,,"Street Food, Beverages",₹100 for two,Kukatpally,
Shree Radhe Kachori,,"Street Food, North Indian",₹100 for two,Kukatpally,
Sonu Caterers,,"North Indian, Street Food",₹100 for two,Kukatpally,
Hukam Chand Kachori Corner,3.9,Street Food,₹100 for two,Kukatpally,
Ramesh South Indian Dosa,,South Indian,₹100 for two,Kukatpally,
Sachdeva Snacks Corner - Sardar Ji Pakode Wale,4.1,Street Food,₹100 for two,Kukatpally,
Sharma Ji Ke Special Chole Bhature,,North Indian,₹100 for two,Kukatpally,
Bahadurgarh Ke Mashoor Pakode,3.9,Street Food,₹100 for two,Kukatpally,
Bhagwandas Ka Chole Kulche,,"Street Food, North Indian",₹100 for two,Kukatpally,
Sunil Chole Bhature,,North Indian,₹100 for two,Kukatpally,
Amar Singh Ji Ke Special Chole Bhature,,"Street Food, North Indian",₹100 for two,Kukatpally,
Brijwasi Kachori,,Street Food,₹100 for two,Kukatpally,
Saraswati South Indian Point,,South Indian,₹100 for two,Kukatpally,
Pandit Ji Puri Wale,,North Indian,₹100 for two,Kukatpally,
Kaakke Da Dhaba,,"North Indian, Street Food",₹100 for two,Kukatpally,
Ghamandi Chole Bhature,,Street Food,₹100 for two,Kukatpally,
Chole Bhature,,North Indian,₹100 for two,Kukatpally,
Hari Prasad Chauhan Amritsari Naan,,North Indian,₹100 for two,Kukatpally,
South Indian Cafe,,South Indian,₹100 for two,Kukatpally,
Dukhiram Samosa And Jalebi,3.9,Street Food,₹100 for two,Kukatpally,
Sindhi Tikki Centre,,Street Food,₹100 for two,Kukatpally,
South Indian Dosa,,South Indian,₹100 for two,Kukatpally,
Sahi Kachori Wale,,Street Food,₹100 for two,Kukatpally,
Gupta's Food Point,3.5,North Indian,₹100 for two,Kukatpally,
Sitaram Ke Special Chhole Bhature,,Street Food,₹100 for two,Kukatpally,
Shyam Bhature Wala,,North Indian,₹100 for two,Kukatpally,
Purani Delhi Ki Bedmi Puri Bhature Chole,,Street Food,₹100 for two,Kukatpally,
Mithun Chole Kulche,,Street Food,₹100 for two,Kukatpally,
Arora Ji Chola Kulcha Wala,,Street Food,₹100 for two,Kukatpally,
Billu Pakode Wala,,Street Food,₹100 for two,Kukatpally,
Amritsar Ke Tandoori Naan,,North Indian,₹100 for two,Kukatpally,
Shri Amarchander Chole Bhature,,Street Food,₹100 for two,Kukatpally,
Ghar Ka Khana,,North Indian,₹100 for two,Kukatpally,
Vikash Special Chole Bhature,3.9,Street Food,₹100 for two,Kukatpally,
Pandit Ramsharan Sharma,4.3,"Street Food, Fast Food",₹100 for two,Kukatpally,
Radhe Shyam Special Chole Bhature,,North Indian,₹100 for two,Kukatpally,
Sapna Kachori Wala,,Street Food,₹100 for two,Kukatpally,
Thekedar Kachori Waale,,Street Food,₹100 for two,Kukatpally,
Shekhar Enterprises,,"North Indian, Beverages",₹100 for two,Kukatpally,
Indirapuram Veg Biryani,,Biryani,₹100 for two,Kukatpally,
Anna South Indian Food Corner,,South Indian,₹100 for two,Kukatpally,
Cafe 44,,"North Indian, Chinese",₹100 for two,Kukatpally,
Pandit Ramesh Halwai Puri Wale,,"Mithai, Street Food",₹100 for two,Kukatpally,
Sanjha Chulha,,North Indian,₹100 for two,Kukatpally,
Gupta Chaat Corner,,Street Food,₹100 for two,Kukatpally,
Raj Kumar Chole Kulche Wale,,North Indian,₹100 for two,Kukatpally,
Shyam Ki Rasoi,,North Indian,₹100 for two,Kukatpally,
Parathe Hi Parathe,,"North Indian, Fast Food",₹100 for two,Kukatpally,
Chote Lal Chaat Bhandar,,Street Food,₹100 for two,Kukatpally,
Pappu Tea Stall,,"Street Food, Tea",₹100 for two,Kukatpally,
Ramveer Special Chole Kulche,,Street Food,₹100 for two,Kukatpally,
Rampal Lunch Center,,North Indian,₹100 for two,Kukatpally,
Special Chole Bhature,,North Indian,₹100 for two,Kukatpally,
Pappu Chole Kulche,,Street Food,₹100 for two,Kukatpally,
Vijay Chawal,,"North Indian, Street Food",₹100 for two,Kukatpally,
Famous Darbhanga Bihar,,Bihari,₹100 for two,Kukatpally,
Ram Ratan Halwai,,"Mithai, Street Food",₹100 for two,Kukatpally,
Titu Di Hatti,3.3,North Indian,₹100 for two,Kukatpally,
Idli Dosa,,South Indian,₹100 for two,Kukatpally,
The Raj Sharma Bhature Wale,3.1,North Indian,₹100 for two,Kukatpally,
Anmol Litty Chokha,3.8,Bihari,₹100 for two,Kukatpally,
Choudhary Sweets,3.9,"Mithai, Street Food",₹100 for two,Kukatpally,Closes in 39 minutes
Chole Bhature Wala,,"Fast Food, Street Food",₹100 for two,Kukatpally,Closes in 9 minutes
Kolkata Kathi Roll,,"Rolls, Chinese",₹100 for two,Kukatpally,
Vikas Dosa,,South Indian,₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Sikkim Chinese Momos,,"Momos, Chinese",₹100 for two,Kukatpally,Closes in 9 minutes
Fresh UP Point,,"Beverages, Juices",₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Flaunt by Dutyfree,3.9,"North Indian, Chinese, Biryani, Kebab, Pizza, Pasta, Street Food, Beverages","₹2,300 for two",Secunderabad,
Pa Pa Ya,4.8,"Asian, Chinese, Thai, Japanese, Sushi, Malaysian, Beverages","₹2,400 for two",Secunderabad,Closes in 1 hour 7 minutes
Roastery Coffee House,4.7,"Cafe, Continental, Burger, Pasta, Pizza, Salad, Desserts, Beverages","₹1,600 for two",Secunderabad,Closes in 1 hour 7 minutes
Dwarka SYD Rooftop Cafe,4.2,"Chinese, Fast Food, North Indian, Sandwich, Salad, Pizza, Pasta, Burger","₹1,300 for two",Secunderabad,Closes in 1 hour 37 minutes
Silbuttah - The Indian Story By Berco's,4.9,"North Indian, Mughlai, Kebab, Biryani, Desserts, Rolls, Shake, Beverages","₹1,400 for two",Secunderabad,
Drool Kitchen,4.0,"North Indian, Chinese, Continental, Oriental, Mughlai, Pizza, Pasta, Bar Food","₹1,800 for two",Secunderabad,Closes in 1 hour 7 minutes
Paprika Park,4.1,"North Indian, Bar Food, Momos, Fast Food, Chinese, Continental, Mughlai, Beverages","₹1,700 for two",Secunderabad,Closes in 1 hour 7 minutes
Quaff Brewing Co,4.5,"North Indian, Continental, Asian, International, Salad, Desserts, Beverages, Coffee","₹2,500 for two",Secunderabad,Closes in 1 hour 52 minutes
eleved,4.9,"Cafe, Coffee, Tea, Continental, Healthy Food, Modern Indian, South Indian, Juices","₹2,600 for two",Secunderabad,Closes in 37 minutes
Grotto - Authentic Woodfired Pizzas,4.8,"Pizza, Cafe, Italian, Coffee, Beverages","₹1,800 for two",Secunderabad,
Smoke House Deli,4.4,"Italian, Sandwich, Salad, Burger, Desserts, Pasta, Beverages","₹2,000 for two",Secunderabad,
BeeYoung Brewgarden,4.5,"European, Asian, Italian, Modern Indian","₹2,900 for two",Secunderabad,
Bon Amigos - Euro & Pan-Asian Kitchen,4.5,"European, Asian, Italian","₹1,600 for two",Secunderabad,Closes in 1 hour 7 minutes
HIKKI,4.1,"Japanese, Peruvian","₹3,900 for two",Secunderabad,
Threesixtyone Degrees - The Oberoi,4.9,"Asian, Continental, North Indian, Mughlai, Desserts, Beverages, Italian, Chinese","₹6,000 for two",Secunderabad,
Stellar Binge,4.3,"Chinese, Salad, Asian, Kebab, North Indian, Continental, Mughlai, Desserts","₹1,700 for two",Secunderabad,Closes in 1 hour 7 minutes
Sparrow Air Bar and Kitchen,4.1,Alcoholic Beverages,"₹2,500 for two",Secunderabad,
